,ref,lea name,site url,policy url,me policy url,mei url (if separate)
153,SB978-145,Daly City Police Department,https://web.archive.org/web/19991007032914/http://dalycity.org/,https://web.archive.org/web/20230719155108/https://public.powerdms.com/DalyCityPD/tree/documents/2526717,,
154,SB978-148,Davis Police Department,https://web.archive.org/web/20020527131822/http://www.cityofdavis.org/,https://web.archive.org/web/20190712003911/https://cityofdavis.org/city-hall/police-department/administration/department-manual,,--No link for this in original dataset--
155,SB978-150,Del Norte County Sheriff's Department,https://web.archive.org/web/20010201062300/http://co.del-norte.ca.us/,https://web.archive.org/web/20230719155112/https://www.co.del-norte.ca.us/media/Sheriffs/SO_Policy_Manual%2007.01.2020.pdf,--No link for this in original dataset--,--No link for this in original dataset--
156,SB978-151,Del Rey Oaks Police Department,https://web.archive.org/web/20050803084124/http://www.delreyoaks.org/,https://web.archive.org/web/20220319180437/https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/2726/release_20211207_t180436_del_rey_oaks_pd_ca_policy_manual.pdf,https://web.archive.org/web/20220401111249/https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/141/del_rey_oaks_draft_military_equipment_use_policy.pdf,
157,SB978-152,Delano Police Department,https://web.archive.org/web/20070830141625/http://www.cityofdelano.org/,https://web.archive.org/web/20210923112656/https://cityofdelano.org/DocumentCenter/View/5576/Delano-Police-Department-Policy-Manual-,https://web.archive.org/web/20220428024822/https://www.cityofdelano.org/DocumentCenter/View/6158/Delano-Police-Department-Proposed-Military-Equipment-Policy,--No link for this in original dataset--
158,SB978-153,Desert Hot Springs Police Department,https://web.archive.org/web/20060916220242/http://www.cityofdhs.org/,https://web.archive.org/web/20200916022054/https://cdn2.hubspot.net/hubfs/4435988/pd%20DHSPD%20Policy%20and%20Procedure%20Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
159,SB978-154,Dinuba Police Department,https://web.archive.org/web/20010123154100/http://www.dinuba.org/,https://web.archive.org/web/20210115143117/http://dinuba.org/images/2020/Dinuba-PD-Policy-Manual.pdf,https://web.archive.org/web/20220527161446/https://dinuba.org/images/2022/Dinuba_PD_Policy_Manual.pdf,--No link for this in original dataset--
160,SB978-155,Dixon Police Department,https://web.archive.org/web/20180727185413/http://www.dixonpolice.org/,,,--No link for this in original dataset--
161,SB978-156,Dos Palos Police Department,https://web.archive.org/web/20110315175713/http://dospalospd.org/,https://web.archive.org/web/20220930203652/https://www.dospalospd.org/_files/ugd/87680d_b57afbfcb2bf416faa5127e5a83d7857.pdf,https://web.archive.org/web/20220930203652/https://www.dospalospd.org/_files/ugd/87680d_b57afbfcb2bf416faa5127e5a83d7857.pdf,--No link for this in original dataset--
162,SB978-157,Downey Police Department,https://web.archive.org/web/19971221152051/http://downeyca.org/,https://web.archive.org/web/20191029182303/https://www.downeyca.org/Home/ShowAsyncTempDocument?folderGuid=52AN6WJV&fileName=2a7c3e1daea54edd932dea9e4ef2b731_DPD_PolicyManual.pdf&ContentType=application%2Fpdf,https://web.archive.org/web/20221102172049/https://www.downeyca.org/home/showpublisheddocument/6512/637878573693470000,--No link for this in original dataset--
