,ref,lea name,url
344,SB978-403,Pleasanton Police Services,https://web.archive.org/web/20120309002619/http://www.cityofpleasantonca.gov/
345,SB978-405,Plumas County Sheriff's Department,https://web.archive.org/web/20101009141010/http://www.plumascounty.us/
346,SB978-406,Pomona Police Department,https://web.archive.org/web/20210331221505/https://www.pomonaca.gov/
347,SB978-408,Port Hueneme Police Department,https://web.archive.org/web/20010902203028/http://www.ci.port-hueneme.ca.us/
348,SB978-410,Porterville Police Department,https://web.archive.org/web/20010616215509/http://www.ci.porterville.ca.us/
349,SB978-411,Red Bluff Police Department,https://web.archive.org/web/20000817022947/http://www.rbpd.org/
350,SB978-412,Redding Police Department,https://web.archive.org/web/20130914200634/http://cityofredding.org
351,SB978-413,Redlands Police Department,https://web.archive.org/web/20020921183555/http://cityofredlands.org/
352,SB978-414,Redondo Beach Police Department,https://web.archive.org/web/19970403215657/http://www.redondo.org/
353,SB978-415,Redwood City Police Department,https://web.archive.org/web/19981202220632/http://www.redwoodcity.org/
354,SB978-416,Reedley Police Department,https://web.archive.org/web/20080820011116/http://www.reedley.ca.gov/
355,SB978-417,Rialto Police Department,https://web.archive.org/web/20200318133810/https://rialtopolice.com/
356,SB978-418,Richmond Police Department,https://web.archive.org/web/19980110071453/http://www.ci.richmond.ca.us/
357,SB978-419,Ridgecrest Police Department,https://web.archive.org/web/20081208070516/http://www.ridgecrest-ca.gov/
358,SB978-420,Rio Dell Police Department,https://web.archive.org/web/20181101055651/http://cityofriodell.ca.gov/
359,SB978-422,Ripon Police Department,https://web.archive.org/web/20020228022253/http://www.riponpd.org/
360,SB978-423,Riverside Community College District Police Department,https://web.archive.org/web/20140211003004/http://rccd.edu/
361,SB978-426,Riverside County Sheriff's Department,https://web.archive.org/web/20040612185635/http://www.riversidesheriff.org/
362,SB978-427,Riverside Police Department,https://web.archive.org/web/20040207122301/http://www.riversideca.gov/
363,SB978-428,Rocklin Police Department,https://web.archive.org/web/20060712094149/http://www.rocklin.ca.us/
364,SB978-429,Rohnert Park Department of Public Safety,https://web.archive.org/web/20010301194052/http://www.rpcity.org/
365,SB978-430,Roseville Police Department,https://web.archive.org/web/19980110011819/http://roseville.ca.us/
366,SB978-431,Ross Police Department,https://web.archive.org/web/20000918103920/http://www.townofross.org/
367,SB978-436,Sacramento County Sheriff's Department,https://web.archive.org/web/19980205155656/http://sacsheriff.com/
368,SB978-437,Sacramento Police Department,https://web.archive.org/web/20000301060707/http://www.cityofsacramento.org/
369,SB978-440,Saint Helena Police Department,https://web.archive.org/web/20121203050558/http://cityofsthelena.org/
